Organization Name,Organization Name URL,Growth Category,Number of Employees,Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Full Description,Headquarters Location,Description,CB Rank (Company),Acquired by,Acquired by URL,Acquisition Type,Acquisition Terms,Estimated Revenue Range,Founded Date,Founded Date Precision,Operating Status,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,LinkedIn,Founders,Number of Founders,Number of Funding Rounds,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Industries
CropX,https://www.crunchbase.com/organization/cropx,Growing,101-250,Series C,30000000,USD,30000000,"CropX, an ag-analytics and IOT company, develops AI-driven, cloud-based software solutions integrated with data from proprietary and 3rd-party sources, boosting crop yield (up to 15%)and saving water (up to 50%), pesticide use (up to 20%), fertilizer use (up to 20%), with energy and labor savings as well. It offers a comprehensive solution on one platform to help farmers achieve successful and sustainable results in the complex growing environment. The system is trusted and easy to use with global deployments on over 5,000 farms in 70 countries, and quickly growing. Partnerships and connections with key industry players, such as Reinke, Syngenta, PepsiCo, Helm, NEC, John Deere, Climate FieldView, and many others, make it easy for farmers to automate operations, and share data across systems.","Netanya, HaMerkaz, Israel","CropX - a comprehensive agronomic management system, uses AI to turn real-time conditions, farm data and agronomics into sustainable farming","1,489",,,,,$10M to $50M,2014-01-01,year,Active,,,,,For Profit,https://cropx.com/,https://www.linkedin.com/company/cropx-ltd,"Isaac Bentwich, Yossi Haran",2,14,55555679,USD,55555679,"OurCrowd, SeedInvest, NEC Corporation, Innovation Endeavors, Edaphon",7,23,"Agriculture, AgTech, Analytics, Energy"
"Verdant Robotics, Inc.",https://www.crunchbase.com/organization/verdant-robotics,Growing,11-50,Series A,46500000,USD,46500000,"Verdant's Model B Smart Sprayer enables growers to reduce labor costs by 50% or more and decrease input costs by 96%. The Model B weeds and thins all types of crops (including high-density and conventional), in all types of fields (including organic and no-till), day or night. Our proprietary Bullseye targeting technology combined with the Model B's Pinpoint Spray System unlocks new profitability through micro-fertilization and nutrient delivery leading to substantial yield increases. Verdant helps growers of all sizes produce more food, more efficiently.","Hayward, California, United States","Verdant builds AI-powered Smart Sprayers that weed, thin, fertilize & deliver nutrients at millimeter level.","1,509",,,,,$1M to $10M,2018-10-08,day,Active,,,,,For Profit,http://www.verdantrobotics.com,https://www.linkedin.com/company/verdant-robotics-inc,"Curtis Garner, Gabe Sibley, Lawrence Ibarria",3,3,58000000,USD,58000000,"AgFunder, Autotech Ventures, SeaX Ventures, Future Ventures, DCVC Bio",2,9,"Agriculture, AgTech, Artificial Intelligence (AI), Farming, Manufacturing, Robotics"
Intelligent Growth Solutions,https://www.crunchbase.com/organization/intelligent-growth-solutions,Growing,101-250,Series C,22500000,GBP,28603355,"IGS makes platforms that deliver ideal climates for plants and people, based upon a culture of continuous innovation, brilliant, simple design and a refusal to accept conventional technical thinking.","Edinburgh, Edinburgh, City of, United Kingdom","Power, lighting and communications platforms in controlled environments.","1,539",,,,,$10M to $50M,2013-01-01,year,Active,,,,,For Profit,https://www.intelligentgrowthsolutions.com/,https://www.linkedin.com/company/intelligent-growth-solutions-limited,"Dave Scott, Henry Aykroyd",2,6,114075291,USD,114075291,"S2G Ventures, AgFunder, Scottish Enterprise, DC Thomson, Ospraie Ag Sciences",5,8,"AgTech, Farming, Industrial Automation"
EarthOptics,https://www.crunchbase.com/organization/earthoptics,Growing,51-100,Venture - Series Unknown,24000000,USD,24000000,"GroundTruth Ag is a soil cloud creator specializing in sustainable agricultural management. GroundTruth  offers insights into soil management and health as well as near-real-time actionable data layers that cover the physical, chemical, and biological characteristics of the soil. This technology allows farmers to obtain accurate soil information while also offering carbon creditors low-cost, hyper-accurate verification.","Arlington, Virginia, United States",EarthOptics provides a cloud-based machine learning platform for soil and ground management.,"1,568",,,,,$10M to $50M,2018-01-01,year,Active,,,,,For Profit,https://earthoptics.com/,https://www.linkedin.com/company/earthoptics/,"Lars Dyrud, Todd Martin",2,5,79095443,USD,79095443,"S2G Ventures, CNH Industrial, Louis Dreyfus Company, Shell Ventures, iSelect Fund",3,22,"Agriculture, AgTech, Information Technology, Real Time"
Agrolend,https://www.crunchbase.com/organization/agrolend,,11-50,Series C,300000000,BRL,53061658,"Agrolend is a digital bank that provides credit for the agribusiness sector. The company focuses on supporting farmers through a lending platform for the purchase of agricultural inputs such as seeds, crop protection, and crop nutrition.","São Paulo, Sao Paulo, Brazil",Agrolend is a digital bank that provides credit for the agribusiness sector.,"1,676",,,,,$1M to $10M,2020-12-23,day,Active,,,,,For Profit,https://www.agrolend.agr.br,https://www.linkedin.com/company/agrolend/about/,"Alan Glezer, Andre Glezer, Carlos Fagundes, Leopoldo Vettor, Valeria Bonadio",5,10,159941890,USD,159941890,"Agrolend, Lightrock, Mago Capital, The Norinchukin Bank, Barn Investments",4,19,"AgTech, Credit, Financial Services, FinTech, Lending"
xFarm Technologies,https://www.crunchbase.com/organization/x-farm,Growing,101-250,Series C,34000000,CHF,39511315,"xFarm Technologies is a tech company focused on digitizing the agri-food sector, providing innovative tools that can support farmers and stakeholders in managing their businesses. It offers apps for farm management, connected sensors, support in Digital Transformation projects, algorithms applied to agriculture, and training activities for the whole sector. xFarm Technologies supports the work of 80,000 farms belonging to more than 30 supply chains on 1 million hectares in more than 100 countries worldwide.","Manno, Ticino, Switzerland",XFarm Technologies develops a digital farm management platform providing tools that support farmers in the management of their businesses.,"1,804",,,,,$1M to $10M,2017-01-02,day,Active,,,,,For Profit,http://www.xfarm.ag,https://www.linkedin.com/company/helloxfarm,"Andrea Moroni Stampa, Martino Poretti, Matteo Vanotti, Salvatore Ferullo",4,6,61168693,USD,61168693,"European Innovation Council, Partech, United Ventures, Neva SGR, Creadd Ventures",4,11,"Agriculture, AgTech, Farming, Information Technology, SaaS"
Agtonomy,https://www.crunchbase.com/organization/agtonomy,Growing,11-50,Series A,10000000,USD,10000000,"Agtonomy is a hybrid autonomous and tele-assist platform that specializes in advanced autonomous and AI solutions for agriculture. It focuses on addressing the pressing challenges of labor scarcity, sustainability, and shrinking profit margins faced by farmers. It partners with established equipment developers to transform tractors and agriculture machines into autonomous and remote-controlled equipment that is accessible to local farmers.","San Francisco, California, United States",Agtonomy is a hybrid autonomy and tele-assist platform that specializes in advanced autonomous and AI solutions for agriculture.,"1,828",,,,,$1M to $10M,2021-01-01,year,Active,,,,,For Profit,https://www.agtonomy.com/,https://www.linkedin.com/company/agtonomy/,"Tim Bucher, Valerie Syme",2,6,55000000,USD,55000000,"Google Ventures, Autotech Ventures, Toyota Ventures, Village Global, Momenta",5,16,"Agriculture, AgTech, Industrial Automation, Information Technology"
eFishery,https://www.crunchbase.com/organization/efishery,Growing,501-1000,Debt Financing,30000000,USD,30000000,"EFishery is an aquaculture technology startup that builds technology solutions from smart feeding to a cloud-based dashboard and data platform to help fish and shrimp farmers grow their businesses sustainably. EFishery solves the problem of one of the crucial and growing industries in the world: aquaculture. EFishery creates an ecosystem in which fish and shrimp farmers can easily boost productivity while also providing a more sustainable, safe, and equitable environment.","Bandung, Jawa Barat, Indonesia",eFishery is an acquculture company that offers feeding solutions for fish and shrimp farming.,"2,236",,,,,$100M to $500M,2013-01-01,year,Active,,,,,For Profit,http://efishery.com,https://www.linkedin.com/company/efisheryid,"Chrisna Aditya, Gibran Huzaifah, Muhammad Ihsan Akhirulsyah",3,13,372915623,USD,372915623,"Temasek Holdings, 500 Global, Bossanova Investimentos, International Finance Corporation, responsAbility Investments",11,28,"AgTech, Aquaculture, Farming, Sustainability"
NitroVolt,https://www.crunchbase.com/organization/nitrovolt,Growing,1-10,Seed,3500000,EUR,3720179,"NitroVolt is decarbonizing nitrogen-based fertilizer production and making the agricultural sector more resilient with a novel production process. Commercial ammonia production supports 40-50% of the agricultural industry as a nitrogen-based fertilizer. But current ammonia production is not sustainable, releasing over 1% of global greenhouse gas emissions during production facilities and further emissions during transportation to the end user, farmers. NitroVolt offers a local ammonia production solution that gives farmers the ability to produce their own nitrogen-based fertilizer. The only inputs required by NitroVolt’s container-sized systems are air, water, and electricity, enabling production of sustainable ammonia directly at farms. NitroVolt’s patented electrochemical Nitrolyzer unit can make ammonia on-demand with intermittent renewable energy sources. With their technology, NitroVolt aims to decarbonize nitrogen-based fertilizer production one farm at a time, cut the logistic costs of distributing fertilizer, and make the agricultural sector more resilient to external factors.","Copenhagen, Hovedstaden, Denmark","NitroVolt is a green ammonia startup developing a small-scale ammonia synthesis unit, to give farmers control over fertilizer production.","2,363",,,,,,2023-06-26,day,Active,,,,,For Profit,https://www.nitrovolt.com/,https://www.linkedin.com/company/nitrovolt/,"Mattia Saccoccio, Suzanne Zamany Andersen",2,3,4546321,USD,4546321,"Division Q, Export and Investment Fund, Breakthrough Energy Ventures, Satgana, BackingMinds",2,6,"Agriculture, AgTech, CleanTech, Energy Storage, Fuel, GreenTech, Renewable Energy, Sustainability"
iFarmer,https://www.crunchbase.com/organization/ifarmer,Growing,101-250,Venture - Series Unknown,687500,USD,687500,"iFarmer is an Agri-fintech startup that bundles finance with agriculture inputs, advisory services, insurance, and market access for the farmers. iFarmer uses technology, data, and in-depth knowledge of the agriculture value chain to enable financial institutions, Agri input retailers, insurance companies and buyers to provide services to the millions of smallholder farmers, for whom iFarmer aims to become a “one-stop solution” for their farming needs.","Dhaka, Dhaka, Bangladesh","iFarmer use data and technology to bundle finance with agriculture inputs, advisory, insurance, and market access for farmers","2,428",,,,,$50M to $100M,2019-01-01,day,Active,,,,,For Profit,https://www.ifarmer.asia/,https://www.linkedin.com/company/ifarmerasia/,"Fahad Ifaz, Jamil Akbar, Munimul Islam",3,8,3517500,USD,3517500,"Accelerating Asia, Startup Bangladesh, Falcon Network, Millville Opportunities Management, UNCDF",4,6,"AgTech, B2B, FinTech, Supply Chain Management"
Si-Ware Systems,https://www.crunchbase.com/organization/si-ware-systems,,101-250,Venture - Series Unknown,9000000,USD,9000000,"Si-Ware’s NeoSpectra is an all-in-one, universal material analysis solution platform, built on a family of single-chip FT-NIR spectrometers, enables businesses to bring the lab to the field and makes the concept of analyzing anywhere with high return on investment a reality. Combining portable analyzers that have unprecedented performance and accuracy with the NeoSpectra LabStore, a secure place to discover and download test methods developed by FT-NIR technology experts such as laboratories, researchers, universities, and companies, NeoSpectra by Si-Ware’s solutions deliver instant insights to industries such as agriculture, food, life sciences, and others. Si-Ware is headquartered in Menlo Park, California, with research and development centers in Paris, France, and Cairo, Egypt. For more information, visit www.Si-Ware.com.","Menlo Park, California, United States",FT-NIR MEMS spectrometers and platform ecosystem,"2,498",,,,,Less than $1M,2004-01-01,year,Active,,,,,For Profit,http://si-ware.com,https://www.linkedin.com/company/si-ware-systems,"Hisham Haddara, Youssri Helmy",2,2,19000000,USD,19000000,"QBN Capital, Egypt Ventures, Sawari Ventures, TAQNIA, Ideavelopers",2,5,"AgTech, Consumer Electronics, Semiconductor, Sensor"
EF Polymer,https://www.crunchbase.com/organization/ef-polymer,Growing,11-50,Debt Financing,,,,"EF Polymer is an agricultural firm. The company came up with the idea to utilize this waste most efficiently without creating any kind of pollution. It developed an Eco-Friendly Water Retention Natural Polymer named ""Fasal Amrit"" which can absorb 300 times more water than its weight for as long as 10-12 days. It helps to reduce irrigation water requirement by 30-40% along with a 40-50% reduction in fertilizer because it prevents the leaching of fertilizer causing 10-20% fertilizer loss. The ""Fasal Amrit"" itself is made from organic waste hence it has a great number of micronutrients to support the better growth of crops/plants. It is organic in nature, chemical-free, and pollution-free, and what is interesting, it is 100% biodegradable in the soil after 5-6 months of application. The farmers can reduce their cost of water and fertilizer by 20-40% and can increase the yield by 10-20%. The application of ""Fasal Amrit"" includes but is not limited to in-house plants to save them for a week or two in case you are not at your home to water them, keep your garden green forever by reducing the daily watering cycle, enhance the growth of your plant in an organic way, save your plant far from your home or on hilly areas where it is difficult for your water them daily, etc.","Onna, Okinawa, Japan",EF Polymer is an agricultural firm that provides products and sustainable input solutions to save water and fertilizer usage.,"2,580",,,,,$10M to $50M,2018-10-03,day,Active,,,,,For Profit,http://www.efpolymer.com,https://www.linkedin.com/company/ef-polymer-global/,"Ankit Jain, Buddhi Prakash Gurjar, Narayan Lal Gurjar, Puran Singh Rajput, Shashi Pratap Singh",5,5,4502191,USD,4502191,"Universal Materials Incubator, Beyond Next Ventures, Suzuyo Shoji, MTG Ventures, Okinawa Development Finance Corporation",3,9,"Agriculture, AgTech, Farming, Waste Management"
Stellapps,https://www.crunchbase.com/organization/stellapps,Growing,101-250,Series C,26000000,USD,26000000,"Stellapps designs dairy management software applications that leverage the power of technology to improve dairy supply chain parameters. The company's applications leverage the Internet of Things (IoT), big data, cloud, mobility and data analytics to improve agri-supply chain parameters, including milk production, milk procurement, cold chain animal insurance and farmer payments, enabling dairy farms, dairy farmers and cooperatives to maximize profits while minimizing effort.","Bangalore, Karnataka, India",Stellapps designs dairy management software applications that leverage the power of technology to improve dairy supply chain parameters.,"2,591",,,,,$1M to $10M,2011-01-01,year,Active,,,,,For Profit,http://www.stellapps.com,https://www.linkedin.com/company/stellapps-technologies-private-limited,"Jinesh Shah, Praveen Nale, Ramakrishna Adukuri, Ranjith Mukundan, Ravishankar Shiroor, Venkatesh Seshasayee",6,12,63624120,USD,63624120,"500 Global, Omnivore, U.S. International Development Finance Corp, Blume Ventures, Bill & Melinda Gates Foundation",8,18,"AgTech, Analytics, Apps, Farming, Internet of Things, Software"
Skytree,https://www.crunchbase.com/organization/giaura,,11-50,Grant,2500000,EUR,2674163,"At Skytree, we’re turning ideas into action in the journey toward stable, reliable, and cleaner CO2. We create smart, scalable carbon dioxide solutions that recycle atmospheric CO2 and contribute to a healthier planet.  Founded in 2014, Skytree’s technology is built on a foundation of over a decade of applied research developing cutting-edge technology for astronauts on the International Space Station to tackle the CO2 challenge here on Earth. We are a global team of highly talented scientists, engineers, business development and marketing professionals, supported by an experienced management team.","Amsterdam, Noord-Holland, The Netherlands",Transforming CO2 supply,"3,018",,,,,$1M to $10M,2010-01-01,year,Active,,,,,For Profit,http://www.skytree.eu/,https://www.linkedin.com/company/skytree,"Alexander Gunkel, Max Beaumont",2,4,8674163,USD,8674163,"European Innovation Council, The Yield Lab Europe, BNV Partners, Horticoop",1,4,"AgTech, Clean Energy, CleanTech, GreenTech, Sustainability"
Indigo,https://www.crunchbase.com/organization/indigoag,,501-1000,Venture - Series Unknown,270000000,USD,270000000,"Indigo is an agricultural technology company that focuses on improving the sustainability and productivity of agriculture. The company focuses on the microbes that have evolved in conjunction with plants over billions of years to optimize their health and maximize their productivity. Indigo believes we are at the forefront of something that serves the needs of both farmers and consumers. For farmers, the yield benefits will help improve grower profitability while increasing our capacity to feed a growing population. For consumers, Indigo can begin to make fundamental changes in how our food is grown; like being more efficient with water, and reducing the use of nitrogen fertilizer and pesticides over time.","Boston, Massachusetts, United States",Indigo is an agricultural technology company that focuses on improving sustainability and profitability in farming practices.,"3,303",,,,,$100M to $500M,2014-01-01,year,Active,,,,,For Profit,http://www.indigoag.com,https://www.linkedin.com/company/indigoag,"David Berry, Geoffrey von Maltzahn, Ignacio Martinez, Noubar Afeyan",4,11,1439000000,USD,1439000000,"Alaska Permanent Fund, FedEx, Activant Capital, G Squared, CEAS Investments",6,15,"Agriculture, AgTech, Farming, GreenTech"
Biotalys,https://www.crunchbase.com/organization/agrosavfe,Growing,51-100,Post-IPO Equity,15000000,EUR,16392457,"Biotalys is an Agricultural Technology (AgTech) company that employs its proprietary Agrobody technology platform to develop crop and food protection products. The company develops a new generation of protein-based biocontrol solutions, shaping the future of sustainable and safe food supply. Biotalys' unique protein-based biocontrols combine the high-performance characteristics of chemicals with the clean safety profile of biologicals, making them ideal crop protection agents for both pre- and post-harvest applications. It was incorporated in 2013 and is based in the Biotech hub in Ghent, Belgium.","Ghent, Oost-Vlaanderen, Belgium",Biotalys is an AgTech company that employs its proprietary AGROBODY™ technology platform to develop crop protection products.,"3,564",,,,,$1M to $10M,2013-01-01,year,Active,2021-07-02,day,,,For Profit,https://biotalys.com/,https://www.linkedin.com/company/biotalys-nv/,"Erik Jongedijk, Marnix Peferoen, Peter Verheesen",3,9,93979600,USD,93979600,"SoFi, Bill & Melinda Gates Foundation, PMV, Sofinnova Partners, Gimv",5,17,"Agriculture, AgTech, Biotechnology"
Aruna,https://www.crunchbase.com/organization/aruna,,101-250,Series B,3200000,USD,3200000,"Aruna is an integrated fishery platform that connects local fishermen to broader markets. Aruna helps to create fair fish trading, improve the livelihood of local fishermen, and also bring affordable and high-quality seafood to communities.","Jakarta, Jakarta Raya, Indonesia","Aruna is an aquatech startup that offers integrated fishery platform, connecting local fishermen to broader markets.","3,630",,,,,$1M to $10M,2015-01-01,year,Active,,,,,For Profit,http://aruna.id,https://id.linkedin.com/company/aruna-indonesia,"Farid Naufal Aslam, Indraka Fadhlillah, Utari Octavianty",3,9,103200000,USD,103200000,"Bossanova Investimentos, Prosus Ventures, MDI Ventures, Google for Startups, Vertex Ventures",6,15,"AgTech, Communities, Seafood"
